°íÀ¯¹øÈ£,¾ğ¾î,»óÈ£¸í,ÄÜÅÙÃ÷URL,ÁÖ¼Ò,½ÅÁÖ¼Ò,ÀüÈ­¹øÈ£,À¥»çÀÌÆ®,¿î¿µ½Ã°£,±³ÅëÁ¤º¸,È¨ÆäÀÌÁö ¾ğ¾î,´ëÇ¥¸Ş´º
14359,ko,µ¿°æ½Ä´ç,https://korean.visitseoul.net/restaurants/µ¿°æ½Ä´ç1/KOP014359?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014359,150-881 ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 28-3,07320 ¼­¿ïÆ¯º°½Ã ¿µµîÆ÷±¸ ¿©ÀÇ´ë·Î 8 (¿©ÀÇµµµ¿) ,02-786-7220,https://www.instagram.com/tokyomc786/#,11:00 - 22:00 14:00 - 17:30 (ºê·¹ÀÌÅ©Å¸ÀÓ),"ÁöÇÏÃ¶ 5/ 9È£¼± ¿©ÀÇµµ¿ª 1¹ø Ãâ±¸,  578m",,"Âî¶ó½Ã½º½Ã, µ¿°æ½Ä´çÃÊ¹ä, ÇØ¹°¿ìµ¿, µ·±î½ºµ¤¹ä"
1692,zh-TW,Apple House,,137-811 âÏì³ã¼ßúõ®Ï¡ÚïøİÔ×978 ,06548 âÏì³ã¼ßúõ®Ï¡ãæÚïøİÖØ50 ,-2144,,10:00 ~ 21:30,ò¢ôÑ9ûÜàÊÏÁÚïøİó×3ûÜõóÏ¢ ,,
7247,ko,¸¶¸®¸ğ,https://korean.visitseoul.net/restaurants/¸¶¸®¸ğ-KR/KOP007244?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007244,135-897 ¼­¿ïÆ¯º°½Ã °­³²±¸ ½Å»çµ¿ 653-14,06019 ¼­¿ïÆ¯º°½Ã °­³²±¸ µµ»ê´ë·Î49±æ 10-1 (½Å»çµ¿) ,02-545-5885,,¸ÅÀÏ 18:00 ~ 04:00,"ÁöÇÏÃ¶ ¼öÀÎºĞ´ç¼± ¾Ğ±¸Á¤·Îµ¥¿À¿ª 5¹ø Ãâ±¸,  480m  ",,"±³ÀÚÅÁ, ¿Àµ­ÅÁ, ¾ËÅÁ, È¸µ¤¹ä"
7140,en,Hanu Hanmari,https://english.visitseoul.net/restaurants/Hanu-Hanmari2/ENP007140?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP007140,"07779 Hwagok 1(il)-dong, Gangseo-gu, Seoul 910-23","07779 65, Gangseo-ro 5na-gil, Gangseo-gu, Seoul ",-3601,,Open 24 hours,Line 5 Kkachisan Exit 3  ,,Grilled Beef
7142,zh-TW,ìéô´ùÛéÚ,https://tchinese.visitseoul.net/restaurants/ìéô´ùÛéÚ5/TCP007140?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP007140,07779 âÏì³ã¼Ë°à¤Ï¡ü¢ÍÛ1Ô× 910-23,07779 âÏì³ã¼Ë°à¤Ï¡Ë°à¤ÖØ5naÊ¶65 ,-3601,,24á³ãÁç½åö,5ûÜàÊ ıìíÎß£ 3ûÜõóÏ¢  ,,?éÚë¿
51091,en,Parole & Langue ,https://english.visitseoul.net/restaurants/Parole-Langue/ENP0p4bkd?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP0p4bkd," 8 Seongmisan-ro 29an-gil, Mapo-gu, Seoul ","03980 8 Seongmisan-ro 29an-gil, Mapo-gu, Seoul ",-2779,https://www.instagram.com/parole_langue,13:00-21:00,"Subway Lines 2/Airport Railroad/Gyeongui?Jungang Line, Hongik Univ. Station, Exit 3, 821m ",KOR,
51090,en,Caf? Kiiro,https://english.visitseoul.net/restaurants/Caf?Kiiro/ENPz7bpwy?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENPz7bpwy," 2F, 41-3 Changgyeonggung-ro 26-gil, Jongno-gu, Seoul ","03079 2F, 41-3 Changgyeonggung-ro 26-gil, Jongno-gu, Seoul ",-1515,http://www.instagram.com/ki___iro/,12:00-20:00,"Subway Line 4, Hyehwa Station, Exit 3, 263m ",KOR,
51096,zh-TW,Caf? Kiiro,https://tchinese.visitseoul.net/restaurants/Caf?Kiiro/TCPz7bpwy?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCPz7bpwy, âÏì³÷åÜ¬ã¼ñ£ÖØÏ¡óãÌÔÏàÖØ26ÖØ41-3£¬2×§ ,03079 âÏì³÷åÜ¬ã¼ñ£ÖØÏ¡óãÌÔÏàÖØ26ÖØ41-3£¬2×§ ,-1515,http://www.instagram.com/ki___iro/,12:00-20:00,ò¢ôÑ4ûÜàÊû³ûùó×3ûÜõóÏ¢£¬263m,ùÛÙş,
51057,ko,ÇÏ¿ì½º¿Àºê¹ÙÀÌ´Ò ¸Á¿øÁ¡,https://korean.visitseoul.net/restaurants/houseofvinyl-mangwon/KOPcq5rwf?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOPcq5rwf, ¼­¿ï ¸¶Æ÷±¸ ¸Á¿øµ¿ 405-17 ,04008 ¼­¿ï ¸¶Æ÷±¸ Èñ¿ìÁ¤·Î16±æ 23 1Ãş ,0507-1321-9546,https://www.instagram.com/houseofvinyl_mangwon,11:00-22:00,"ÁöÇÏÃ¶ 6È£¼± ¸Á¿ø¿ª 2¹øÃâ±¸, 682m",ÇÑ±¹¾î,
47899,en,Chuncheon Charcoal Spicy Stir-fried Chicken Gangnam Station,https://english.visitseoul.net/restaurants/Chuncheon-Charcoal-Spicy-Stir-fried-Chicken-Gangnam-Station/ENPyne161?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENPyne161," 2F, 817-16 Yeoksam-dong, Gangnam-gu, Seoul, Republic of Korea ","06129 11-4 Gangnam-daero 96-gil, Gangnam-gu, Seoul, Republic of Korea (¿ª»ïµ¿) 2F",-10313,,17:00 - 22:00,,,"Herb chicken ribs (330g), Charcoal grilled chicken neck (250g) "
